id,time,temperature,humidity
2,2021-09-15 01:10:00,0.08,58
8,2021-09-15 01:10:00,48.55,76
9,2021-09-15 01:10:00,-0.42,57
10,2021-09-15 01:10:00,21.18,45
3,2021-09-15 01:11:15,15.68,52
5,2021-09-15 01:11:15,49.84,55
1,2021-09-15 01:12:58,47.43,75
2,2021-09-15 01:12:58,1.93,88
4,2021-09-15 01:12:58,-5.13,58
5,2021-09-15 01:12:58,37.72,50
6,2021-09-15 01:12:58,45.76,80
8,2021-09-15 01:12:58,-0.49,58
9,2021-09-15 01:12:58,19.72,75
10,2021-09-15 01:12:58,34.33,94
8,2021-09-15 01:14:50,-7.12,54
2,2021-09-15 01:16:33,32.38,52
3,2021-09-15 01:16:33,31.58,83
4,2021-09-15 01:16:33,27.21,46
8,2021-09-15 01:16:33,12.51,73
10,2021-09-15 01:16:33,1.51,60
1,2021-09-15 01:18:27,50.17,92
2,2021-09-15 01:18:27,21.44,48
5,2021-09-15 01:18:27,4.61,56
6,2021-09-15 01:18:27,-1.3,58
7,2021-09-15 01:18:27,16.69,57
8,2021-09-15 01:18:27,32.79,41
9,2021-09-15 01:18:27,32.29,45
6,2021-09-15 01:20:17,-1.33,64
8,2021-09-15 01:20:17,29.69,75
9,2021-09-15 01:20:17,35.68,69
10,2021-09-15 01:20:17,-9.86,71
4,2021-09-15 01:20:39,4.19,76
8,2021-09-15 01:20:39,-3.74,73
10,2021-09-15 01:20:39,3.5,88
3,2021-09-15 01:22:01,49.95,49
8,2021-09-15 01:22:01,2.66,43
2,2021-09-15 01:23:44,11.21,48
3,2021-09-15 01:23:44,8.03,76
4,2021-09-15 01:23:44,11.51,48
8,2021-09-15 01:23:44,27.12,88
9,2021-09-15 01:23:44,15.81,63
1,2021-09-15 01:23:46,-6.13,42
2,2021-09-15 01:23:46,18.1,42
3,2021-09-15 01:23:46,30.68,52
4,2021-09-15 01:23:46,18.65,69
5,2021-09-15 01:23:46,14.42,43
7,2021-09-15 01:23:46,40.88,88
9,2021-09-15 01:23:46,38.0,91
2,2021-09-15 01:24:14,33.27,58
3,2021-09-15 01:24:14,24.87,72
5,2021-09-15 01:24:14,5.82,41
6,2021-09-15 01:24:14,38.88,66
7,2021-09-15 01:24:14,-0.63,40
9,2021-09-15 01:24:14,44.93,92
10,2021-09-15 01:24:14,10.3,92
4,2021-09-15 01:24:54,-5.21,76
6,2021-09-15 01:24:54,20.56,59
7,2021-09-15 01:24:54,-7.5,79
10,2021-09-15 01:24:54,34.11,58
3,2021-09-15 01:26:47,48.46,54
4,2021-09-15 01:26:47,47.11,67
5,2021-09-15 01:26:47,49.35,79
6,2021-09-15 01:26:47,41.34,81
9,2021-09-15 01:26:47,31.68,61
5,2021-09-15 01:28:07,20.13,79
7,2021-09-15 01:28:07,48.23,76
1,2021-09-15 01:29:35,36.49,78
2,2021-09-15 01:29:35,33.2,92
6,2021-09-15 01:29:35,38.27,53
